group,n,base_rate,selection_rate,TPR_recall,FPR,precision_PPV,avg_predicted_p,stable_n100
"('25-34', 'White')",17327,0.09401512090956311,0.19108905176891555,0.6206261510128913,0.14651547967894,0.3053458169737239,0.10480446176793116,True
"('35-44', 'White')",17273,0.1013141897759509,0.18948648179239275,0.62,0.1409521355408104,0.33150015276504735,0.10595836717472551,True
"('45-54', 'White')",10054,0.11676944499701611,0.2085737020091506,0.6286201022146508,0.15304054054054053,0.351931330472103,0.113698338316735,True
"('35-44', 'Race Not Available')",8439,0.12774025358454794,0.19753525299206068,0.6066790352504638,0.13761717157994838,0.39232153569286143,0.11521484553325781,True
"('35-44', 'Asian')",8335,0.08410317936412717,0.13017396520695862,0.5221112696148359,0.0941839140686403,0.33732718894009217,0.08720094556770826,True
"('25-34', 'Race Not Available')",8090,0.12163164400494438,0.2165636588380717,0.6646341463414634,0.15451730931607094,0.3732876712328767,0.12126137611055232,True
"('25-34', 'Asian')",7979,0.08183982955257552,0.11668128838200276,0.47166921898928027,0.08503958503958504,0.3308270676691729,0.08300315813904563,True
"('55-64', 'White')",6915,0.11916124367317425,0.23326102675343457,0.7257281553398058,0.1666393038909867,0.3707377557346559,0.12570030260652912,True
"('45-54', 'Race Not Available')",4570,0.14595185995623633,0.23807439824945295,0.6836581709145427,0.16192672303356392,0.41911764705882354,0.13205276479507,True
"('45-54', 'Asian')",3853,0.10641058915131067,0.15286789514663898,0.5926829268292683,0.10049375544583213,0.41256366723259763,0.10260424215709331,True
"('65-74', 'White')",3519,0.11679454390451834,0.24097755044046604,0.681265206812652,0.18275418275418276,0.330188679245283,0.12683632292762012,True
"('55-64', 'Race Not Available')",2698,0.16234247590808007,0.2809488510007413,0.6894977168949772,0.20176991150442478,0.39841688654353563,0.14568419728832008,True
"('<25', 'White')",2053,0.14271797369702874,0.3044325377496347,0.7747440273037542,0.22613636363636364,0.3632,0.14695642649668642,True
"('25-34', 'Joint')",1712,0.06425233644859812,0.10981308411214953,0.5181818181818182,0.08177278401997504,0.30319148936170215,0.07716757734552745,True
"('35-44', 'Joint')",1646,0.06500607533414338,0.12150668286755771,0.5794392523364486,0.08966861598440545,0.31,0.08097450824236452,True
"('55-64', 'Asian')",1619,0.12291537986411365,0.20815318097591107,0.6884422110552764,0.14084507042253522,0.4065281899109792,0.12258227277623368,True
"('35-44', 'Black or African American')",1244,0.18006430868167203,0.295016077170418,0.6428571428571429,0.21862745098039216,0.3923705722070845,0.1443280413582071,True
"('>74', 'White')",1239,0.11945117029862792,0.27037933817594834,0.7297297297297297,0.2080659945004583,0.32238805970149254,0.1330868268955104,True
"('65-74', 'Race Not Available')",1150,0.14,0.27391304347826084,0.7267080745341615,0.20020222446916078,0.37142857142857144,0.14456794930322178,True
"('45-54', 'Black or African American')",1017,0.17404129793510326,0.27728613569321536,0.6440677966101694,0.2,0.40425531914893614,0.1342911904467463,True
"('25-34', 'Black or African American')",942,0.14861995753715498,0.28450106157112526,0.7,0.2119700748129676,0.3656716417910448,0.1425850186439129,True
"('<25', 'Race Not Available')",850,0.21529411764705883,0.3552941176470588,0.7978142076502732,0.23388305847076463,0.48344370860927155,0.18608442537461603,True
"('55-64', 'Black or African American')",737,0.17639077340569878,0.32157394843962006,0.7,0.24052718286655683,0.38396624472573837,0.14884241716892474,True
"('45-54', 'Joint')",688,0.0872093023255814,0.1511627906976744,0.6,0.10828025477707007,0.34615384615384615,0.09812509890167977,True
"('65-74', 'Asian')",513,0.15984405458089668,0.21442495126705652,0.6341463414634146,0.1345707656612529,0.4727272727272727,0.13089169576442444,True
"('<25', 'Asian')",444,0.13063063063063063,0.17567567567567569,0.6206896551724138,0.10880829015544041,0.46153846153846156,0.12178201475673285,True
"('>74', 'Race Not Available')",390,0.13846153846153847,0.3282051282051282,0.7592592592592593,0.25892857142857145,0.3203125,0.1604562910066537,True
"('55-64', 'Joint')",366,0.12295081967213115,0.19672131147540983,0.7555555555555555,0.11838006230529595,0.4722222222222222,0.12314338188711901,True
"('65-74', 'Black or African American')",314,0.17834394904458598,0.29936305732484075,0.7321428571428571,0.2054263565891473,0.43617021276595747,0.155169482419102,True
"('25-34', 'American Indian or Alaska Native')",282,0.15602836879432624,0.2978723404255319,0.75,0.21428571428571427,0.39285714285714285,0.14933960556657044,True
"('35-44', 'American Indian or Alaska Native')",216,0.18055555555555555,0.30092592592592593,0.6410256410256411,0.22598870056497175,0.38461538461538464,0.15492306178452844,True
"('65-74', 'Joint')",168,0.1130952380952381,0.25,0.7894736842105263,0.18120805369127516,0.35714285714285715,0.14424108353946213,True
"('35-44', 'Native Hawaiian or Other Pacific Islander')",133,0.17293233082706766,0.24060150375939848,0.6521739130434783,0.15454545454545454,0.46875,0.1364088809694955,True
"('45-54', 'American Indian or Alaska Native')",132,0.22727272727272727,0.29545454545454547,0.8,0.14705882352941177,0.6153846153846154,0.19796942192815573,True
"('<25', 'Joint')",113,0.11504424778761062,0.23008849557522124,0.8461538461538461,0.15,0.4230769230769231,0.1155317680609252,True
"('35-44', '2 or more minority races')",108,0.12037037037037036,0.16666666666666666,0.7692307692307693,0.08421052631578947,0.5555555555555556,0.12567618947081297,True
"('25-34', 'Native Hawaiian or Other Pacific Islander')",105,0.18095238095238095,0.2,0.6842105263157895,0.09302325581395349,0.6190476190476191,0.13440982145180735,True
"('>74', 'Asian')",101,0.13861386138613863,0.22772277227722773,0.5714285714285714,0.1724137931034483,0.34782608695652173,0.13208579303443221,True
