group,n,base_rate,selection_rate,TPR_recall,FPR,precision_PPV,avg_predicted_p,stable_n100
"('White', 'Joint')",26201,0.08595091790389679,0.17407732529292774,0.6238898756660746,0.13178003256920956,0.30804648103486076,0.09796416713012775,True
"('White', 'Male')",19345,0.12204704057896097,0.22155595761178598,0.6344769165607793,0.16415449835138954,0.34951003266448905,0.11746628339862103,True
"('White', 'Female')",12583,0.1254867678614003,0.2540729555749821,0.7099430018999366,0.18865866957470012,0.35064122614951515,0.13497474585857927,True
"('Asian', 'Joint')",9796,0.08248264597795019,0.12688852592895059,0.551980198019802,0.08867378727191812,0.3588093322606597,0.08588099525311398,True
"('Race Not Available', 'Joint')",8542,0.110395691875439,0.20194333879653478,0.6489925768822906,0.14646664034741413,0.35478260869565215,0.11105268869119535,True
"('Asian', 'Male')",8198,0.09843864357160283,0.14418150768480117,0.5353159851301115,0.1014747666080368,0.36548223350253806,0.0950385490804556,True
"('Race Not Available', 'Sex Not Available')",7224,0.12347729789590255,0.1924141749723145,0.5997757847533632,0.135028427037271,0.38489208633093525,0.11172817423544153,True
"('Race Not Available', 'Male')",6378,0.15929758544998432,0.26011288805268107,0.6653543307086615,0.18332711674748228,0.4074743821579265,0.14268611774789555,True
"('Asian', 'Female')",4709,0.10341898492248885,0.1495009556169038,0.5441478439425051,0.1039791567977262,0.37642045454545453,0.10228375575122874,True
"('Joint', 'Joint')",4314,0.07209086694483079,0.1286509040333797,0.5819935691318328,0.09342992755433426,0.3261261261261261,0.08581187606592414,True
"('Race Not Available', 'Female')",4122,0.17418728772440562,0.3015526443474042,0.7646239554317549,0.20387779083431257,0.4416733708769107,0.16430750657070434,True
"('Black or African American', 'Female')",1635,0.18837920489296636,0.3259938837920489,0.6818181818181818,0.24340617935192163,0.39399624765478425,0.15768026719199377,True
"('Black or African American', 'Male')",1420,0.18169014084507043,0.2887323943661972,0.6705426356589147,0.20395869191049915,0.4219512195121951,0.146189622682746,True
"('Black or African American', 'Joint')",1345,0.14349442379182156,0.2698884758364312,0.6528497409326425,0.20572916666666666,0.34710743801652894,0.12663006056890505,True
"('American Indian or Alaska Native', 'Male')",338,0.15384615384615385,0.28106508875739644,0.6923076923076923,0.2062937062937063,0.37894736842105264,0.15396466333680345,True
"('White', 'Sex Not Available')",259,0.15057915057915058,0.23552123552123552,0.6410256410256411,0.16363636363636364,0.4098360655737705,0.1351585891935131,True
"('American Indian or Alaska Native', 'Female')",254,0.2125984251968504,0.3543307086614173,0.8518518518518519,0.22,0.5111111111111111,0.20707353977882817,True
"('Joint', 'Male')",230,0.11739130434782609,0.18695652173913044,0.7037037037037037,0.11822660098522167,0.4418604651162791,0.10525164717892298,True
"('American Indian or Alaska Native', 'Joint')",195,0.1794871794871795,0.28717948717948716,0.6571428571428571,0.20625,0.4107142857142857,0.12625753746809895,True
"('Joint', 'Female')",176,0.11363636363636363,0.2215909090909091,0.9,0.1346153846153846,0.46153846153846156,0.13902257061508008,True
"('Native Hawaiian or Other Pacific Islander', 'Joint')",148,0.11486486486486487,0.18243243243243243,0.6470588235294118,0.12213740458015267,0.4074074074074074,0.10889040180210445,True
"('Asian', 'Sex Not Available')",143,0.11188811188811189,0.18181818181818182,0.5,0.14173228346456693,0.3076923076923077,0.11297236943266212,True
"('Native Hawaiian or Other Pacific Islander', 'Male')",135,0.18518518518518517,0.24444444444444444,0.64,0.15454545454545454,0.48484848484848486,0.12393934134126626,True
"('2 or more minority races', 'Joint')",114,0.13157894736842105,0.20175438596491227,0.6666666666666666,0.13131313131313133,0.43478260869565216,0.12126384471530713,True
"('2 or more minority races', 'Male')",100,0.21,0.18,0.6190476190476191,0.06329113924050633,0.7222222222222222,0.14500368898714594,True
"('Native Hawaiian or Other Pacific Islander', 'Female')",99,0.2828282828282828,0.35353535353535354,0.7857142857142857,0.18309859154929578,0.6285714285714286,0.21356326966011302,False
"('2 or more minority races', 'Female')",81,0.13580246913580246,0.2839506172839506,0.9090909090909091,0.18571428571428572,0.43478260869565216,0.17577991216196764,False
"('Black or African American', 'Sex Not Available')",40,0.1,0.225,1.0,0.1388888888888889,0.4444444444444444,0.1483184240970329,False
"('Joint', 'Sex Not Available')",19,0.15789473684210525,0.21052631578947367,0.3333333333333333,0.1875,0.25,0.11704176446465747,False
"('Free Form Text Only', 'Joint')",15,0.06666666666666667,0.0,0.0,0.0,,0.05581814040417353,False
"('Free Form Text Only', 'Male')",13,0.3076923076923077,0.23076923076923078,0.5,0.1111111111111111,0.6666666666666666,0.1800691019767276,False
"('American Indian or Alaska Native', 'Sex Not Available')",6,0.16666666666666666,0.3333333333333333,1.0,0.2,0.5,0.17939307028562776,False
"('2 or more minority races', 'Sex Not Available')",5,0.0,0.0,,0.0,,0.06060504310095131,False
"('Native Hawaiian or Other Pacific Islander', 'Sex Not Available')",5,0.0,0.2,,0.2,0.0,0.09268086063297762,False
"('Free Form Text Only', 'Female')",4,0.0,0.0,,0.0,,0.048800170081728926,False
"('Free Form Text Only', 'Sex Not Available')",3,0.0,0.0,,0.0,,0.06497516290983922,False
