weight,AUC,White_FPR,White_Recall,Black or African American_FPR,Black or African American_Recall,American Indian or Alaska Native_FPR,American Indian or Alaska Native_Recall
1,0.806632450993112,0.1544567363920471,0.6498154389343604,0.21811259178678272,0.672346002621232,0.21044546850998463,0.7464788732394366
2,0.8071521359701506,0.1542841804551642,0.651099341999679,0.2045145499048137,0.6657929226736566,0.20583717357910905,0.7323943661971831
3,0.8066917829240814,0.15508944149395096,0.6496549510511956,0.1922763122110416,0.6526867627785059,0.20430107526881722,0.7394366197183099
4,0.8074015223218122,0.15457177368330233,0.6474081206868881,0.1843894479194996,0.6500655307994757,0.20430107526881722,0.7394366197183099
5,0.8062359027372141,0.15399658722702608,0.6472476328037233,0.17840630949143324,0.6448230668414154,0.19969278033794163,0.7323943661971831
6,0.805516215571645,0.15372816688076385,0.6478895843363826,0.1721512102257275,0.6369593709043251,0.1889400921658986,0.7394366197183099
8,0.8040332336397922,0.15462929232892997,0.6446798266730862,0.15828120750611913,0.6159895150720839,0.18433179723502305,0.7394366197183099
10,0.8017592972245915,0.15278869566884598,0.6421120205424491,0.15528963829208595,0.6028833551769331,0.17972350230414746,0.7394366197183099
12,0.800350965288658,0.15211764480319037,0.638581287112823,0.14713081316290455,0.5963302752293578,0.17665130568356374,0.7394366197183099
15,0.7972345714853426,0.15230937362194913,0.6364949446316803,0.1422355180853957,0.581913499344692,0.17511520737327188,0.7323943661971831
18,0.7957871549641069,0.1505838142531204,0.6366554325148451,0.12972531955398423,0.5753604193971167,0.17357910906298002,0.7323943661971831
